Match Number,Round Number,Date,Location,Home Team,Away Team,Result
206,23,20/02/2022 16:30,Signal Iduna Park,Borussia Dortmund,Borussia Mönchengladbach,6 - 0
201,23,20/02/2022 18:30,Olympiastadion,Hertha BSC,RB Leipzig,1 - 6
211,24,25/02/2022 19:30,PreZero Arena,Hoffenheim,VfB Stuttgart,2 - 1
208,24,26/02/2022 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,1. FC Köln,1 - 1
212,24,26/02/2022 14:30,SC-Stadion,SC Freiburg,Hertha BSC,3 - 0
213,24,26/02/2022 14:30,Borussia-Park,Borussia Mönchengladbach,VfL Wolfsburg,2 - 2
214,24,26/02/2022 14:30,Stadion An der Alten Försterei,Union Berlin,Mainz 05,3 - 1
215,24,26/02/2022 14:30,BayArena,Bayer 04 Leverkusen,Arminia Bielefeld,3 - 0
216,24,26/02/2022 17:30,Deutsche Bank Park,Eintracht Frankfurt,FC Bayern,0 - 1
209,24,27/02/2022 14:30,Vonovia Ruhrstadion,VfL Bochum,RB Leipzig,0 - 1
210,24,27/02/2022 16:30,WWK Arena,FC Augsburg,Borussia Dortmund,1 - 1
219,25,04/03/2022 19:30,Schüco-Arena,Arminia Bielefeld,FC Augsburg,0 - 1
217,25,05/03/2022 14:30,Vonovia Ruhrstadion,VfL Bochum,SpVgg Greuther Fürth,2 - 1
220,25,05/03/2022 14:30,Olympiastadion,Hertha BSC,Eintracht Frankfurt,1 - 4
223,25,05/03/2022 14:30,Volkswagen Arena,VfL Wolfsburg,Union Berlin,1 - 0
224,25,05/03/2022 14:30,Red Bull Arena,RB Leipzig,SC Freiburg,1 - 1
225,25,05/03/2022 14:30,Allianz Arena,FC Bayern,Bayer 04 Leverkusen,1 - 1
222,25,05/03/2022 17:30,Mercedes-Benz Arena,VfB Stuttgart,Borussia Mönchengladbach,3 - 2
218,25,06/03/2022 16:30,RheinEnergieStadion,1. FC Köln,Hoffenheim,0 - 1
228,26,12/03/2022 14:30,PreZero Arena,Hoffenheim,FC Bayern,1 - 1
229,26,12/03/2022 14:30,SC-Stadion,SC Freiburg,VfL Wolfsburg,3 - 2
231,26,12/03/2022 14:30,Stadion An der Alten Försterei,Union Berlin,VfB Stuttgart,1 - 1
230,26,12/03/2022 17:30,Borussia-Park,Borussia Mönchengladbach,Hertha BSC,2 - 0
232,26,13/03/2022 14:30,BayArena,Bayer 04 Leverkusen,1. FC Köln,0 - 1
233,26,13/03/2022 16:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Bochum,2 - 1
234,26,13/03/2022 16:30,Signal Iduna Park,Borussia Dortmund,Arminia Bielefeld,1 - 0
226,26,13/03/2022 18:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,RB Leipzig,1 - 6
221,26,16/03/2022 17:30,Opel Arena,Mainz 05,Borussia Dortmund,0 - 1
236,27,18/03/2022 19:30,Vonovia Ruhrstadion,VfL Bochum,Borussia Mönchengladbach,0 - 2
235,27,19/03/2022 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,SC Freiburg,0 - 0
238,27,19/03/2022 14:30,Olympiastadion,Hertha BSC,Hoffenheim,3 - 0
239,27,19/03/2022 14:30,Opel Arena,Mainz 05,Arminia Bielefeld,4 - 0
240,27,19/03/2022 14:30,Mercedes-Benz Arena,VfB Stuttgart,FC Augsburg,3 - 2
243,27,19/03/2022 17:30,Allianz Arena,FC Bayern,Union Berlin,4 - 0
242,27,20/03/2022 14:30,Red Bull Arena,RB Leipzig,Eintracht Frankfurt,0 - 0
241,27,20/03/2022 16:30,Volkswagen Arena,VfL Wolfsburg,Bayer 04 Leverkusen,0 - 2
237,27,20/03/2022 18:30,RheinEnergieStadion,1. FC Köln,Borussia Dortmund,1 - 1
249,28,01/04/2022 18:30,Stadion An der Alten Försterei,Union Berlin,1. FC Köln,1 - 0
244,28,02/04/2022 13:30,Schüco-Arena,Arminia Bielefeld,VfB Stuttgart,1 - 1
246,28,02/04/2022 13:30,PreZero Arena,Hoffenheim,VfL Bochum,1 - 2
247,28,02/04/2022 13:30,SC-Stadion,SC Freiburg,FC Bayern,1 - 4
250,28,02/04/2022 13:30,BayArena,Bayer 04 Leverkusen,Hertha BSC,2 - 1
251,28,02/04/2022 13:30,Deutsche Bank Park,Eintracht Frankfurt,SpVgg Greuther Fürth,0 - 0
252,28,02/04/2022 16:30,Signal Iduna Park,Borussia Dortmund,RB Leipzig,1 - 4
245,28,03/04/2022 13:30,WWK Arena,FC Augsburg,VfL Wolfsburg,3 - 0
248,28,03/04/2022 15:30,Borussia-Park,Borussia Mönchengladbach,Mainz 05,1 - 1
227,28,06/04/2022 16:30,WWK Arena,FC Augsburg,Mainz 05,2 - 1
257,29,08/04/2022 18:30,Mercedes-Benz Arena,VfB Stuttgart,Borussia Dortmund,0 - 2
253,29,09/04/2022 13:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Borussia Mönchengladbach,0 - 2
255,29,09/04/2022 13:30,RheinEnergieStadion,1. FC Köln,Mainz 05,3 - 2
259,29,09/04/2022 13:30,Volkswagen Arena,VfL Wolfsburg,Arminia Bielefeld,4 - 0
261,29,09/04/2022 13:30,Allianz Arena,FC Bayern,FC Augsburg,1 - 0
256,29,09/04/2022 16:30,Olympiastadion,Hertha BSC,Union Berlin,1 - 4
254,29,10/04/2022 13:30,Vonovia Ruhrstadion,VfL Bochum,Bayer 04 Leverkusen,0 - 0
258,29,10/04/2022 15:30,Deutsche Bank Park,Eintracht Frankfurt,SC Freiburg,1 - 2
260,29,10/04/2022 17:30,Red Bull Arena,RB Leipzig,Hoffenheim,3 - 0
263,30,16/04/2022 13:30,WWK Arena,FC Augsburg,Hertha BSC,0 - 1
264,30,16/04/2022 13:30,Opel Arena,Mainz 05,VfB Stuttgart,0 - 0
266,30,16/04/2022 13:30,SC-Stadion,SC Freiburg,VfL Bochum,3 - 0
270,30,16/04/2022 13:30,Signal Iduna Park,Borussia Dortmund,VfL Wolfsburg,6 - 1
267,30,16/04/2022 16:30,Borussia-Park,Borussia Mönchengladbach,1. FC Köln,1 - 3
262,30,17/04/2022 13:30,Schüco-Arena,Arminia Bielefeld,FC Bayern,0 - 3
265,30,17/04/2022 15:30,PreZero Arena,Hoffenheim,SpVgg Greuther Fürth,0 - 0
268,30,17/04/2022 15:30,Stadion An der Alten Försterei,Union Berlin,Eintracht Frankfurt,2 - 0
269,30,17/04/2022 17:30,BayArena,Bayer 04 Leverkusen,RB Leipzig,0 - 1
277,31,22/04/2022 18:30,Volkswagen Arena,VfL Wolfsburg,Mainz 05,5 - 0
271,31,23/04/2022 13:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Bayer 04 Leverkusen,1 - 4
273,31,23/04/2022 13:30,RheinEnergieStadion,1. FC Köln,Arminia Bielefeld,3 - 1
275,31,23/04/2022 13:30,SC-Stadion,SC Freiburg,Borussia Mönchengladbach,3 - 3
276,31,23/04/2022 13:30,Deutsche Bank Park,Eintracht Frankfurt,Hoffenheim,2 - 2
278,31,23/04/2022 13:30,Red Bull Arena,RB Leipzig,Union Berlin,1 - 2
279,31,23/04/2022 16:30,Allianz Arena,FC Bayern,Borussia Dortmund,3 - 1
272,31,24/04/2022 13:30,Vonovia Ruhrstadion,VfL Bochum,FC Augsburg,0 - 2
274,31,24/04/2022 15:30,Olympiastadion,Hertha BSC,VfB Stuttgart,2 - 0
286,32,29/04/2022 18:30,Stadion An der Alten Försterei,Union Berlin,SpVgg Greuther Fürth,1 - 1
280,32,30/04/2022 13:30,Schüco-Arena,Arminia Bielefeld,Hertha BSC,1 - 1
281,32,30/04/2022 13:30,WWK Arena,FC Augsburg,1. FC Köln,1 - 4
282,32,30/04/2022 13:30,Opel Arena,Mainz 05,FC Bayern,3 - 1
284,32,30/04/2022 13:30,Mercedes-Benz Arena,VfB Stuttgart,VfL Wolfsburg,1 - 1
288,32,30/04/2022 13:30,Signal Iduna Park,Borussia Dortmund,VfL Bochum,3 - 4
283,32,30/04/2022 16:30,PreZero Arena,Hoffenheim,SC Freiburg,3 - 4
285,32,02/05/2022 18:30,Borussia-Park,Borussia Mönchengladbach,RB Leipzig,3 - 1
287,32,02/05/2022 18:30,BayArena,Bayer 04 Leverkusen,Eintracht Frankfurt,2 - 0
290,33,06/05/2022 18:30,Vonovia Ruhrstadion,VfL Bochum,Arminia Bielefeld,2 - 1
289,33,07/05/2022 13:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Borussia Dortmund,1 - 3
291,33,07/05/2022 13:30,RheinEnergieStadion,1. FC Köln,VfL Wolfsburg,0 - 1
