Match Number,Round Number,Date,Location,Home Team,Away Team,Result
98,10,15/10/2021 21:00,Parc des Princes,Paris Saint-Germain,Angers SCO,2 - 1
93,10,16/10/2021 17:00,Stade Gabriel Montpied,Clermont Foot 63,LOSC Lille,1 - 0
94,10,16/10/2021 21:00,Groupama Stadium,Olympique Lyonnais,AS Monaco,2 - 0
100,10,17/10/2021 13:00,Stade de l'Aube,ESTAC Troyes,OGC Nice,1 - 0
91,10,17/10/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,FC Nantes,1 - 1
92,10,17/10/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Stade de Reims,1 - 1
96,10,17/10/2021 15:00,Stade Saint-Symphorien,FC Metz,Stade Rennais FC,0 - 3
99,10,17/10/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Étienne,5 - 1
97,10,17/10/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,1 - 0
95,10,17/10/2021 20:45,Orange Vélodrome,Olympique de Marseille,FC Lorient,4 - 1
110,11,22/10/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Angers SCO,2 - 2
106,11,23/10/2021 17:00,Stade de la Beaujoire,FC Nantes,Clermont Foot 63,2 - 1
102,11,23/10/2021 21:00,Stade Pierre-Mauroy,LOSC Lille,Stade Brestois 29,1 - 1
107,11,24/10/2021 13:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,3 - 2
101,11,24/10/2021 15:00,Stade Bollaert-Delelis,RC Lens,FC Metz,4 - 1
103,11,24/10/2021 15:00,Stade du Moustoir,FC Lorient,Girondins de Bordeaux,1 - 1
108,11,24/10/2021 15:00,Stade Auguste Delaune,Stade de Reims,ESTAC Troyes,1 - 2
109,11,24/10/2021 15:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,1 - 0
105,11,24/10/2021 17:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,3 - 1
104,11,24/10/2021 21:00,Orange Vélodrome,Olympique de Marseille,Paris Saint-Germain,0 - 0
27,11,27/10/2021 20:45,Allianz Riviera,OGC Nice,Olympique de Marseille,1 - 1
118,12,29/10/2021 21:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,2 - 1
116,12,30/10/2021 17:00,Stade Saint-Symphorien,FC Metz,AS Saint-Étienne,1 - 1
115,12,30/10/2021 21:00,Groupama Stadium,Olympique Lyonnais,RC Lens,2 - 1
111,12,31/10/2021 13:00,Stade Raymond Kopa,Angers SCO,OGC Nice,1 - 2
112,12,31/10/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,Stade de Reims,3 - 2
117,12,31/10/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,2 - 0
119,12,31/10/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,4 - 0
120,12,31/10/2021 15:00,Stade de l'Aube,ESTAC Troyes,Stade Rennais FC,2 - 2
113,12,31/10/2021 17:00,Stade Francis-Le Blé,Stade Brestois 29,AS Monaco,2 - 0
114,12,31/10/2021 20:45,Stade Gabriel Montpied,Clermont Foot 63,Olympique de Marseille,0 - 1
122,13,05/11/2021 21:00,Stade Bollaert-Delelis,RC Lens,ESTAC Troyes,4 - 0
123,13,06/11/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,Angers SCO,1 - 1
121,13,06/11/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,Paris Saint-Germain,2 - 3
125,13,07/11/2021 13:00,Orange Vélodrome,Olympique de Marseille,FC Metz,0 - 0
